Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
247,12.0,0.0,251.0,7.0,26.0,8501.0,0.0,554.4674997998453,554.4674997998453,0.0,1298.8554906845093,,,,,,,,,,,,,,,,176.18749429591722,171.13545806489006,550.4370620101618,-0.059223877790952305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,12.0,0.0,355.0,8.0,104.0,8605.0,0.0,3817.453301052357,3817.453301052357,0.0,1306.9286341667175,,,,,,,,,,,,,,,,1726.1514092219206,1125.0527947080923,3641.575129622901,-0.0466813465446952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,12.0,0.0,377.0,9.0,22.0,8627.0,0.0,528.8308384803605,528.8308384803605,0.0,1309.1049485206604,,,,,,,,,,,,,,,,175.24191736229864,167.80104829174994,525.5010173157061,-0.0484759519428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,12.0,0.0,421.0,10.0,44.0,8671.0,0.0,1375.2151918919096,1375.2151918919096,0.0,1313.8580918312073,,,,,,,,,,,,,,,,554.6394967668189,415.59274660684196,1352.1632172514205,-0.0502741591321024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,12.0,0.0,479.0,11.0,58.0,8729.0,0.0,2115.101062371884,2115.101062371884,0.0,1318.5352435112,,,,,,,,,,,,,,,,880.3633322958265,659.8057391291417,2066.106095193919,-0.0520741519428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,12.0,0.0,522.0,12.0,43.0,8772.0,0.0,1501.3746280424007,1501.3746280424007,0.0,1322.1373007297516,,,,,,,,,,,,,,,,605.8096897868671,465.4857628317374,1476.8016129945606,-0.0502723645267042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,12.0,0.0,548.0,13.0,26.0,8798.0,0.0,791.6573261229742,791.6573261229742,0.0,1324.5590415000916,,,,,,,,,,,,,,,,288.5070241157342,248.18836109131138,784.9410845805457,-0.043117269212107304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,12.0,0.0,621.0,14.0,73.0,8871.0,0.0,2480.9966650241254,2480.9966650241254,0.0,1330.267076253891,,,,,,,,,,,,,,,,1103.4556316678281,728.7584206225042,2402.847251163537,-0.039517274606709105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,12.0,0.0,644.0,15.0,23.0,8894.0,0.0,591.8546948620245,591.8546948620245,0.0,1332.5697419643402,,,,,,,,,,,,,,,,182.17872544284492,183.4915954400888,588.2528370138532,-0.06281130475497929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,12.0,0.0,671.0,16.0,27.0,8921.0,0.0,869.3293562600611,869.3293562600611,0.0,1335.467274427414,,,,,,,,,,,,,,,,347.8810553588471,269.0891271785125,860.7973651305028,-0.03055142423094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,12.0,0.0,687.0,17.0,16.0,8937.0,0.0,377.45641173235504,377.45641173235504,0.0,1337.3831186294556,,,,,,,,,,,,,,,,112.25027585198771,122.84501161982386,376.03644376248576,-0.043113678204909106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,12.0,0.0,714.0,18.0,27.0,8964.0,0.0,825.1566533356165,825.1566533356165,0.0,1339.9431629180908,,,,,,,,,,,,,,,,308.661511483949,255.0729877422145,817.6404329585085,-0.043113678204909106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,12.0,0.0,737.0,19.0,23.0,8987.0,0.0,521.0904223177233,521.0904223177233,0.0,1342.14817070961,,,,,,,,,,,,,,,,167.86125712345645,161.45108199888216,517.7473607646489,-0.052065169924904196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,12.0,0.0,800.0,20.0,63.0,9050.0,0.0,2088.6168393218077,2088.6168393218077,0.0,1347.080727338791,,,,,,,,,,,,,,,,892.9385994051253,641.7856965206217,2034.396103662948,-0.06101310475497929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,13.0,0.0,58.0,1.0,58.0,9108.0,0.0,2294.472685561794,2294.472685561794,0.0,1406.9871261119843,,,,,,,,,,,,,,,,990.0362755553416,683.1196684540143,2239.289871451035,-0.03594602603094004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,13.0,0.0,106.0,2.0,48.0,9156.0,0.0,1636.9544895848574,1636.9544895848574,0.0,1411.0115571022034,,,,,,,,,,,,,,,,688.2995385613737,499.10971162599276,1605.5216333672786,-0.035928062013907316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,13.0,0.0,123.0,3.0,17.0,9173.0,0.0,481.5789768272866,481.5789768272866,0.0,1412.8438591957092,,,,,,,,,,,,,,,,151.41888156378926,149.73263072327057,479.4843401808832,-0.03234962423094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,13.0,0.0,158.0,4.0,35.0,9208.0,0.0,1158.2242205788943,1158.2242205788943,0.0,1415.9236950874329,,,,,,,,,,,,,,,,482.95700179972266,359.3092881215652,1142.4631887046085,-0.041319072806709115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,13.0,0.0,207.0,5.0,49.0,9257.0,0.0,1653.5420848487088,1653.5420848487088,0.0,1419.9660222530365,,,,,,,,,,,,,,,,690.7433822918267,491.680555741653,1621.3169760925018,-0.04311008000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,13.0,0.0,232.0,6.0,25.0,9282.0,0.0,882.1869360071572,882.1869360071572,0.0,1422.4244706630707,,,,,,,,,,,,,,,,361.7118931772001,283.7762785554754,874.0181568345621,-0.030555018832740047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,13.0,0.0,246.0,7.0,14.0,9296.0,0.0,377.45011760984806,377.45011760984806,0.0,1424.4877479076385,,,,,,,,,,,,,,,,124.88043390603386,124.76806366455645,376.0778694045682,-0.03415142063274004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,13.0,0.0,284.0,8.0,38.0,9334.0,0.0,1176.724963660338,1176.724963660338,0.0,1427.6991200447083,,,,,,,,,,,,,,,,462.09295125287053,363.5450821499864,1160.3257572699986,-0.05207235913210239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,13.0,0.0,356.0,9.0,72.0,9406.0,0.0,2548.3609789481884,2548.3609789481884,0.0,1433.2869892120361,,,,,,,,,,,,,,,,1133.2861450279768,776.7542278088467,2469.2336101162905,-0.061022077790952305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,13.0,0.0,474.0,10.0,118.0,9524.0,0.0,4260.462499845597,4260.462499845597,0.0,1442.0250205993652,,,,,,,,,,,,,,,,1825.5042669733841,1270.6220849205974,4049.102098441177,-0.0752947161819633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,13.0,0.0,538.0,11.0,64.0,9588.0,0.0,2438.26248815312,2438.26248815312,0.0,1447.190016746521,,,,,,,,,,,,,,,,1075.9635638870031,738.5033190294023,2371.7725926570088,-0.03951906921210731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,13.0,0.0,598.0,12.0,60.0,9648.0,0.0,1794.758938117103,1794.758938117103,0.0,1451.9617207050323,,,,,,,,,,,,,,,,731.5550087656915,517.1228001560627,1752.6182558470096,-0.06456108085742251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,13.0,0.0,631.0,13.0,33.0,9681.0,0.0,987.7312929334059,987.7312929334059,0.0,1454.8725755214691,,,,,,,,,,,,,,,,358.25714846507867,309.6871372346028,976.8856927267848,-0.0484777573321024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,13.0,0.0,656.0,14.0,25.0,9706.0,0.0,643.9999985664011,643.9999985664011,0.0,1457.2895901203156,,,,,,,,,,,,,,,,207.8555129896669,203.39743929277245,639.4430537954553,-0.05922207779095231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,13.0,0.0,679.0,15.0,23.0,9729.0,0.0,627.6471586804198,627.6471586804198,0.0,1459.9503848552704,,,,,,,,,,,,,,,,206.13870040246545,193.98408923111793,623.5294980692325,-0.04131188000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,13.0,0.0,754.0,16.0,75.0,9804.0,0.0,2412.837530435489,2412.837530435489,0.0,1465.7824430465698,,,,,,,,,,,,,,,,1078.5577174058822,719.0039717363567,2334.2799816116594,-0.0502777501428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,13.0,0.0,769.0,17.0,15.0,9819.0,0.0,410.6837961767478,410.6837961767478,0.0,1467.4766623973846,,,,,,,,,,,,,,,,143.4296809661752,128.66557007928583,408.94129225450973,-0.025172999029970014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,13.0,0.0,803.0,18.0,34.0,9853.0,0.0,881.6833557022144,881.6833557022144,0.0,1470.4975159168243,,,,,,,,,,,,,,,,298.03759740718294,281.10629924792204,872.4224998902603,-0.0770929125945471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,13.0,0.0,822.0,19.0,19.0,9872.0,0.0,433.88856877287463,433.88856877287463,0.0,1472.584453344345,,,,,,,,,,,,,,,,121.46320720322959,138.72995194461512,432.01278061663004,-0.0574167029549793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,13.0,0.0,893.0,20.0,71.0,9943.0,0.0,2630.0305031662406,2630.0305031662406,0.0,1478.1511046886444,,,,,,,,,,,,,,,,1231.5066035450307,789.4295359994429,2545.13867298753,-0.039520872806709115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,14.0,0.0,74.0,1.0,74.0,10017.0,0.0,2454.4183093294687,2454.4183093294687,0.0,1537.8752627372742,,,,,,,,,,,,,,,,996.5361221570546,706.0401510067327,2383.0576939838315,-0.0592238849729703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,14.0,0.0,191.0,2.0,117.0,10134.0,0.0,3401.4324794996114,3401.4324794996114,0.0,1546.6170163154602,,,,,,,,,,,,,,,,1310.0793411555255,972.2176535773092,3251.4046011856,-0.048474159132102394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,14.0,0.0,207.0,3.0,16.0,10150.0,0.0,493.9024854742338,493.9024854742338,0.0,1548.3594496250153,,,,,,,,,,,,,,,,149.21132968955774,158.77429712968805,492.00711131051145,-0.04131367820490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,14.0,0.0,269.0,4.0,62.0,10212.0,0.0,2319.3399994765377,2319.3399994765377,0.0,1553.4901406764984,,,,,,,,,,,,,,,,1040.8852201480852,695.198505344877,2257.062178005362,-0.030553220632740043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,14.0,0.0,313.0,5.0,44.0,10256.0,0.0,1355.419782026005,1355.419782026005,0.0,1557.2244050502777,,,,,,,,,,,,,,,,541.9305214929785,413.42017428690457,1332.9077468271403,-0.046688535751893405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,14.0,0.0,350.0,6.0,37.0,10293.0,0.0,1277.9095614725215,1277.9095614725215,0.0,1560.435801267624,,,,,,,,,,,,,,,,487.90080868734435,402.1399507046387,1261.118349900991,-0.06281130475497929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,14.0,0.0,371.0,7.0,21.0,10314.0,0.0,511.7041511788433,511.7041511788433,0.0,1562.4888994693756,,,,,,,,,,,,,,,,172.18466082586997,160.56832576278046,508.59687017167175,-0.04131188000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,14.0,0.0,403.0,8.0,32.0,10346.0,0.0,1048.5493144642219,1048.5493144642219,0.0,1565.860207080841,,,,,,,,,,,,,,,,412.11461610026134,321.4448554010426,1036.3980447938072,-0.03415142063274004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,14.0,0.0,500.0,9.0,97.0,10443.0,0.0,2796.2624432476364,2796.2624432476364,0.0,1573.1956634521484,,,,,,,,,,,,,,,,1293.765892649422,790.530798742363,2673.440592252895,-0.030553220632740043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,14.0,0.0,525.0,10.0,25.0,10468.0,0.0,449.0989676539766,449.0989676539766,0.0,1575.7122633457184,,,,,,,,,,,,,,,,105.6373614588585,136.85976424286812,446.90493855606127,-0.09133520565327781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,14.0,0.0,582.0,11.0,57.0,10525.0,0.0,2248.576293633906,2248.576293633906,0.0,1580.357498407364,,,,,,,,,,,,,,,,978.9555248004607,698.9621283380951,2194.9707995198,-0.05206876812490419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,14.0,0.0,619.0,12.0,37.0,10562.0,0.0,1270.5415086834973,1270.5415086834973,0.0,1583.569610118866,,,,,,,,,,,,,,,,515.0628572693702,404.5962718809686,1252.7369198844153,-0.0520741519428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,14.0,0.0,658.0,13.0,39.0,10601.0,0.0,1154.1341682811815,1154.1341682811815,0.0,1586.941156387329,,,,,,,,,,,,,,,,391.16033470513776,363.54291626691776,1140.0189341618427,-0.08422658555026442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,14.0,0.0,699.0,14.0,41.0,10642.0,0.0,1190.7822116014559,1190.7822116014559,0.0,1590.5423922538757,,,,,,,,,,,,,,,,450.11702515518607,368.05001850815427,1173.5009144845778,-0.057436454410743305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,14.0,0.0,719.0,15.0,20.0,10662.0,0.0,444.6131523981026,444.6131523981026,0.0,1592.479908466339,,,,,,,,,,,,,,,,125.42248618590936,143.11274558465715,442.5472499243089,-0.06101490295497929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,14.0,0.0,760.0,16.0,41.0,10703.0,0.0,1284.4852328525108,1284.4852328525108,0.0,1596.2672424316406,,,,,,,,,,,,,,,,515.8091360669582,395.90755003453796,1264.601659933699,-0.0484759573321024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,14.0,0.0,774.0,17.0,14.0,10717.0,0.0,365.8312332202495,365.8312332202495,0.0,1597.8942890167236,,,,,,,,,,,,,,,,115.5376708088753,120.65909140163411,364.57828411303825,-0.034146026030940045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,14.0,0.0,808.0,18.0,34.0,10751.0,0.0,1042.9523977673346,1042.9523977673346,0.0,1600.9525308609009,,,,,,,,,,,,,,,,411.04728488184816,333.14026382749154,1030.0067968782303,-0.041315474606709104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,14.0,0.0,828.0,19.0,20.0,10771.0,0.0,484.3759796094859,484.3759796094859,0.0,1602.9720077514648,,,,,,,,,,,,,,,,145.30587374639776,151.46216068288703,481.9518139485066,-0.0502777501428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,14.0,0.0,887.0,20.0,59.0,10830.0,0.0,1964.4009488221805,1964.4009488221805,0.0,1607.6619834899902,,,,,,,,,,,,,,,,846.7472350861734,613.9007094586093,1916.3592211732703,-0.06637004850418833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,15.0,0.0,54.0,1.0,54.0,10884.0,0.0,2035.4293358526315,2035.4293358526315,0.0,1667.4843549728394,,,,,,,,,,,,,,,,813.123578907109,623.7369192167916,1993.514176768416,-0.057429266998150506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,15.0,0.0,89.0,2.0,35.0,10919.0,0.0,1348.401760075186,1348.401760075186,0.0,1670.5880196094513,,,,,,,,,,,,,,,,537.2284730720802,431.5441190404095,1330.9296932108746,-0.0502741627267042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,15.0,0.0,112.0,3.0,23.0,10942.0,0.0,559.0356191719093,559.0356191719093,0.0,1672.8546779155731,,,,,,,,,,,,,,,,176.3831674078841,172.00676923002774,555.5343406621904,-0.0466813465446952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,15.0,0.0,181.0,4.0,69.0,11011.0,0.0,2400.425828657391,2400.425828657391,0.0,1678.1968040466309,,,,,,,,,,,,,,,,1075.0048517656483,742.5010649474758,2328.5790729585206,-0.050272359132102394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,15.0,0.0,235.0,5.0,54.0,11065.0,0.0,1721.641765947313,1721.641765947313,0.0,1682.538012266159,,,,,,,,,,,,,,,,721.8246173412734,520.7964866699808,1684.3475841950797,-0.0502759573321024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,15.0,0.0,267.0,6.0,32.0,11097.0,0.0,1044.8733509264284,1044.8733509264284,0.0,1685.4234051704407,,,,,,,,,,,,,,,,393.6973313122335,338.4876981195261,1033.308344669106,-0.05921670295497929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,15.0,0.0,294.0,7.0,27.0,11124.0,0.0,592.779331231567,592.779331231567,0.0,1688.1772029399872,,,,,,,,,,,,,,,,173.51807601730926,184.79797251285996,588.6830262053052,-0.0753001018017453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,15.0,0.0,411.0,8.0,117.0,11241.0,0.0,4160.495412512828,4160.495412512828,0.0,1697.4371705055237,,,,,,,,,,,,,,,,1851.655674686434,1188.272481994225,3947.799498072589,-0.043111880004909106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,15.0,0.0,465.0,9.0,54.0,11295.0,0.0,1568.9092203669782,1568.9092203669782,0.0,1701.946659564972,,,,,,,,,,,,,,,,598.7767617228651,491.16553620361935,1538.1133886225666,-0.08061763763700652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,15.0,0.0,484.0,10.0,19.0,11314.0,0.0,512.5634586000499,512.5634586000499,0.0,1704.0498759746552,,,,,,,,,,,,,,,,145.55725281734522,159.2113653298354,510.30817897549593,-0.0466795501428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,15.0,0.0,545.0,11.0,61.0,11375.0,0.0,2251.215813351897,2251.215813351897,0.0,1708.8517560958862,,,,,,,,,,,,,,,,1016.7863123974054,665.1858486436547,2191.3832315271816,-0.03234962423094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,15.0,0.0,611.0,12.0,66.0,11441.0,0.0,1813.525275774766,1813.525275774766,0.0,1714.043444633484,,,,,,,,,,,,,,,,780.1835397273098,504.1972794832644,1763.7969591118756,-0.055641847216141516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,15.0,0.0,658.0,13.0,47.0,11488.0,0.0,1436.3988805665945,1436.3988805665945,0.0,1717.9460136890411,,,,,,,,,,,,,,,,504.74313661010484,458.1406592328111,1414.0900431891084,-0.10382769922243533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,15.0,0.0,675.0,14.0,17.0,11505.0,0.0,509.17128384881664,509.17128384881664,0.0,1719.9193332195282,,,,,,,,,,,,,,,,179.49953209364435,165.67308545601182,506.626418221446,-0.030553220632740043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,15.0,0.0,694.0,15.0,19.0,11524.0,0.0,533.4622555170446,533.4622555170446,0.0,1721.8935742378235,,,,,,,,,,,,,,,,167.06500846173924,168.6267721107767,530.8188391954671,-0.037726262013907316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,15.0,0.0,734.0,16.0,40.0,11564.0,0.0,1299.4211974176487,1299.4211974176487,0.0,1725.7976651191711,,,,,,,,,,,,,,,,560.597918930752,393.0026859001942,1278.2755562166353,-0.03415142063274004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,15.0,0.0,757.0,17.0,23.0,11587.0,0.0,491.46456517276033,491.46456517276033,0.0,1728.1169865131378,,,,,,,,,,,,,,,,141.3354793803568,154.90471255248278,488.70255169871086,-0.06995747546821532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,15.0,0.0,801.0,18.0,44.0,11631.0,0.0,1322.6510443372144,1322.6510443372144,0.0,1731.8748986721039,,,,,,,,,,,,,,,,545.1307953327613,408.8240997316152,1299.96525459717,-0.0484759627267042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,15.0,0.0,813.0,19.0,12.0,11643.0,0.0,308.6775185383895,308.6775185383895,0.0,1733.439344882965,,,,,,,,,,,,,,,,83.46373398274228,98.69987210373483,307.9839376682649,-0.03235322063274005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,15.0,0.0,910.0,20.0,97.0,11740.0,0.0,3370.1668412912913,3370.1668412912913,0.0,1740.7170989513397,,,,,,,,,,,,,,,,1467.1664563490522,1015.4016145988163,3231.082777803236,-0.07529828925924821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,16.0,0.0,134.0,1.0,134.0,11874.0,0.0,4210.114155297285,4210.114155297285,0.0,1809.0007445812225,,,,,,,,,,,,,,,,1924.0229747461376,1127.7664709956425,3956.2513280093112,-0.03415142063274004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,16.0,0.0,186.0,2.0,52.0,11926.0,0.0,1731.5896351982176,1731.5896351982176,0.0,1813.4962892532349,,,,,,,,,,,,,,,,749.4642331699699,519.7311671739153,1694.3118068802598,-0.04131367820490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,16.0,0.0,208.0,3.0,22.0,11948.0,0.0,460.4479842446407,460.4479842446407,0.0,1815.7089443206787,,,,,,,,,,,,,,,,119.01289551854421,140.58935836680533,458.28798853176454,-0.06815389165022431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,16.0,0.0,237.0,4.0,29.0,11977.0,0.0,870.8672982988758,870.8672982988758,0.0,1818.466754436493,,,,,,,,,,,,,,,,363.3061863314357,276.7768759260296,861.1926115067707,-0.03414782603094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,16.0,0.0,259.0,5.0,22.0,11999.0,0.0,605.0301882643747,605.0301882643747,0.0,1820.677150964737,,,,,,,,,,,,,,,,214.83460942021784,192.07319769520004,600.904731588719,-0.03772806201390731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,16.0,0.0,283.0,6.0,24.0,12023.0,0.0,728.714852160865,728.714852160865,0.0,1823.1100220680237,,,,,,,,,,,,,,,,290.9102006900518,232.1242528848711,722.4554628071111,-0.03415142063274004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,16.0,0.0,305.0,7.0,22.0,12045.0,0.0,522.3380003271626,522.3380003271626,0.0,1825.6807553768158,,,,,,,,,,,,,,,,170.93596357152666,170.4220829070674,519.0965056342234,-0.04847236452670419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,16.0,0.0,393.0,8.0,88.0,12133.0,0.0,3207.8885360191084,3207.8885360191084,0.0,1832.3730702400208,,,,,,,,,,,,,,,,1412.2735792393703,929.2781728513531,3086.6951562022473,-0.05027056812490419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,16.0,0.0,460.0,9.0,67.0,12200.0,0.0,1424.1444957854083,1424.1444957854083,0.0,1837.7842416763306,,,,,,,,,,,,,,,,631.053887798811,381.1968656595457,1383.247132435323,-0.0592238849729703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,16.0,0.0,544.0,10.0,84.0,12284.0,0.0,2467.3556028517037,2467.3556028517037,0.0,1844.2386779785156,,,,,,,,,,,,,,,,1126.0010049966493,758.9966637445434,2375.1466650970833,-0.08776209790487327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,16.0,0.0,598.0,11.0,54.0,12338.0,0.0,2099.8889516684667,2099.8889516684667,0.0,1848.7311956882477,,,,,,,,,,,,,,,,935.3459783085432,632.448821275864,2051.4317005403454,-0.03594602603094004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,16.0,0.0,647.0,12.0,49.0,12387.0,0.0,1687.5987556101609,1687.5987556101609,0.0,1852.7971971035004,,,,,,,,,,,,,,,,739.9018638438896,512.6263496286441,1652.9965608426533,-0.039520872806709115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,16.0,0.0,671.0,13.0,24.0,12411.0,0.0,611.420772846098,611.420772846098,0.0,1855.050451517105,,,,,,,,,,,,,,,,196.54503571230717,201.5435880476795,607.311002991995,-0.0574328705819685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,16.0,0.0,694.0,14.0,23.0,12434.0,0.0,510.40149532409913,510.40149532409913,0.0,1857.3822536468506,,,,,,,,,,,,,,,,139.88058860359249,157.80580093340348,507.6919337199365,-0.06994849345022432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,16.0,0.0,714.0,15.0,20.0,12454.0,0.0,560.2512072830394,560.2512072830394,0.0,1859.3624665737152,,,,,,,,,,,,,,,,172.57787794491833,174.17259794952133,557.357006730872,-0.04131906921210731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,16.0,0.0,751.0,16.0,37.0,12491.0,0.0,1281.742514744153,1281.742514744153,0.0,1862.913304567337,,,,,,,,,,,,,,,,540.2198338132052,385.6539596744568,1263.017398291356,-0.034146026030940045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,16.0,0.0,770.0,17.0,19.0,12510.0,0.0,493.5002564608646,493.5002564608646,0.0,1864.9230995178223,,,,,,,,,,,,,,,,159.27264687988946,153.80845531116444,490.9650412113581,-0.041322663813907305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
