Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,600.0,18.0,22.0,600.0,0.0,611.5215981451433,611.5215981451433,0.0,50.06188225746155,,,,,,,,,,,,,,,,208.67723313882252,191.88699490169168,607.5382372533427,-0.043113678204909106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,618.0,19.0,18.0,618.0,0.0,382.6487446264034,382.6487446264034,0.0,51.91612434387207,,,,,,,,,,,,,,,,109.75069803570388,123.75143727685149,381.054286348109,-0.052065169924904196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,645.0,20.0,27.0,645.0,0.0,788.3570397326433,788.3570397326433,0.0,54.37151908874512,,,,,,,,,,,,,,,,254.0523954507605,250.32053910960255,782.2799049604336,-0.0592131047549793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,45.0,1.0,45.0,690.0,0.0,1435.608345261043,1435.608345261043,0.0,104.07574462890625,,,,,,,,,,,,,,,,570.8136733343467,432.1364047474392,1411.3330630240216,-0.0520741519428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,69.0,2.0,24.0,714.0,0.0,744.5898003153625,744.5898003153625,0.0,106.41054677963257,,,,,,,,,,,,,,,,254.5729044410099,244.33425998984794,739.2192698786574,-0.0502759573321024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,90.0,3.0,21.0,735.0,0.0,498.9522337471334,498.9522337471334,0.0,108.36947560310364,,,,,,,,,,,,,,,,139.50272273225596,155.55924912719695,496.5191957655218,-0.0592131047549793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,114.0,4.0,24.0,759.0,0.0,602.0139327220937,602.0139327220937,0.0,110.72060132026672,,,,,,,,,,,,,,,,185.3605312059573,192.1714273209223,598.1634434165676,-0.07174849345022431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,140.0,5.0,26.0,785.0,0.0,731.8814500650549,731.8814500650549,0.0,113.4164559841156,,,,,,,,,,,,,,,,232.6603785894424,231.17804771988102,726.5588390607902,-0.0592238849729703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,160.0,6.0,20.0,805.0,0.0,621.7847662363522,621.7847662363522,0.0,115.42638301849365,,,,,,,,,,,,,,,,226.78648559848816,199.8322923830915,617.8669034278104,-0.034146026030940045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,178.0,7.0,18.0,823.0,0.0,451.6898858819776,451.6898858819776,0.0,117.30527544021606,,,,,,,,,,,,,,,,136.74944149056526,139.92883542132407,449.6780740091567,-0.04311008000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
